Shared_Markers,k0,k1,k2,Share_allele,Value,True_positive,Marcadores,Software,Datos,Kinship,File,Hoja,Sheet,Value_range,FAM_Sample_info_id,FAM_Sample_info_rel,VIC_Sample_info_id,VIC_Sample_info_rel,ValueLog10
15,0,1,14,29,1383970000.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,1000000+,20101264,U,20100806,U,9.14112667612098
15,0,5,10,25,2098410.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,1000000+,20180288,B,20150288,U,6.3218903472232
15,0,8,7,22,1816290.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,1000000+,20140730,S,20140430,P,6.259185191841789
15,0,7,8,23,1209710.0,1,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,1000000+,20110658,P,20110658,S,6.082681270733976
15,0,6,9,24,440118.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,100000-999999,20170380,U,20110548,F,5.64356913075521
15,0,6,9,24,199785.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,100000-999999,20100673,F,20100551,S,5.300562877975169
15,0,8,7,22,183245.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,100000-999999,20100757,M,20070021,S,5.263032133370276
15,0,6,9,24,181875.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,100000-999999,20160457,S,20120024,U,5.259773006329983
15,0,5,10,25,167301.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,100000-999999,20160449,M,20100341,S,5.2234985368570985
15,0,4,11,26,115063.0,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,100000-999999,20130145,U,20120273,M,5.060935693055209
15,0,3,12,27,92490.4,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,10000-99999,20130069,D,20110927,M,4.966096657675354
15,0,6,9,24,66102.7,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,10000-99999,20180186,D,20150214,M,4.820219198837428
15,0,8,7,22,56601.9,0,15,BlindSearch,Real,Paternidad,15_BlindSearch_Real_Paternidad_allele,ripi-1,1:749,10000-99999,20210074,M,20101007,U,4.752831009733608
