Shared_Markers,k0,k1,k2,Share_allele,Value,True_positive,Marcadores,Software,Datos,Kinship,File,Hoja,Sheet,Value_range,FAM_Sample_info_id,FAM_Sample_info_rel,VIC_Sample_info_id,VIC_Sample_info_rel,ValueLog10,label,k1_scaled,k2_scaled,ValueLog10_scaled
13,2,5,8,21,4.08628,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-1,1:749,0-99,20100767,M,20100723,M,0.6113281220342206,0.0,0.38461538461538464,0.6666666666666666,0.05409490305474608
11,4,7,4,15,1.79274,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-7,7:743,0-99,20110675,F,20110558,U,0.25351730866256783,0.0,0.5384615384615385,0.3333333333333333,0.0224331152788585
11,4,6,5,16,10.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-1,1:749,0-99,20100488,M,20110062,M,1.0,0.0,0.46153846153846156,0.41666666666666663,0.0884875095795413
10,5,3,7,17,1.03406,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-97,97:653,0-99,20150171,M,20100757,M,0.014545738867128944,0.0,0.23076923076923078,0.5833333333333333,0.0012871162073465785
11,4,5,6,17,4.9412,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-7,7:743,0-99,20130183,U,20100685,U,0.6938324327476453,0.0,0.38461538461538464,0.5,0.061395504039353704
12,3,5,7,19,2.40368,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-15,15:735,0-99,20160065,U,20111425,M,0.3808766499011832,0.0,0.38461538461538464,0.5833333333333333,0.03370282620675454
10,5,5,5,15,1.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-1,1:749,0-99,20111014,M,20210006,P,0.0,0.0,0.38461538461538464,0.41666666666666663,0.0
14,1,7,7,21,2.0,False,15,ScreenMatch,Real,Paternidad,15_ScreenMatch_Real_Paternidad_allele,Process_RIPI-1,1:749,0-99,20130561,D,20150270,F,0.3010299956639812,0.0,0.5384615384615385,0.5833333333333333,0.026637394625045812
11,4,5,6,17,1.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-375,375:375,0-99,20110270,A,20170277,T,0.0,0.0,0.38461538461538464,0.5,0.0
13,2,5,8,21,32.5224,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-15,15:735,0-99,20210178,M,20170053,U,1.5121825869926626,0.0,0.38461538461538464,0.6666666666666666,0.13380927115252877
11,4,5,6,17,10.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-1,1:749,0-99,20120474,D,20100633,M,1.0,0.0,0.38461538461538464,0.5,0.0884875095795413
11,4,3,8,19,2.36624,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-1,1:749,0-99,20160130,S,20100427,M,0.3740587915977397,0.0,0.23076923076923078,0.6666666666666666,0.03309953090481663
11,4,3,8,19,5.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-175,175:575,0-99,20160115,T,20111319,S,0.6989700043360189,0.0,0.23076923076923078,0.6666666666666666,0.06185011495449549
11,4,5,6,17,1.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-1,1:749,0-99,20111216,M,20170091,S,0.0,0.0,0.38461538461538464,0.5,0.0
10,5,5,5,15,1.05763,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-3,3:747,0-99,20190178,U,20120006,M,0.02433376121273742,0.0,0.38461538461538464,0.41666666666666663,0.002153233928418373
13,2,7,6,19,2.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-15,15:735,0-99,20160307,M,20120187,F,0.3010299956639812,0.0,0.5384615384615385,0.5,0.026637394625045812
12,3,4,8,20,2.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-375,375:375,0-99,20160247,T,20160151,S,0.3010299956639812,0.0,0.3076923076923077,0.6666666666666666,0.026637394625045812
12,3,6,6,18,13.1581,False,15,BlindSearch,Real,Hermandad,15_BlindSearch_Real_Hermandad_allele,risib-7,7:743,0-99,20210226,F,20110048,F,1.119193182660282,0.5,0.46153846153846156,0.5,0.099034617472009
11,4,5,6,17,1.0,False,15,ScreenMatch,Real,Hermandad,15_ScreenMatch_Real_Hermandad_allele,Process_RISIB-97,97:653,0-99,20120294,M,20120360,M,0.0,0.0,0.38461538461538464,0.5,0.0
