Shared_Markers,k0,k1,k2,Share_allele,Value,True_positive,Marcadores,Software,Datos,Kinship,File,Hoja,Sheet,Value_range,FAM_Sample_info_id,FAM_Sample_info_rel,VIC_Sample_info_id,VIC_Sample_info_rel,ValueLog10,label,k1_scaled,k2_scaled,ValueLog10_scaled
12,3,4,8,20,1.0,False,15,ScreenMatch,Simulados,Hermandad,15_ScreenMatch_Simulados_Hermandad_allele,Process_LISIB-97,97:653,0-99,063601,U,099702,U,0.0,0.0,0.3076923076923077,0.6666666666666666,0.0
13,2,8,5,18,2.0,False,15,ScreenMatch,Simulados,Hermandad,15_ScreenMatch_Simulados_Hermandad_allele,Process_lisib-375,375:375,0-99,004501,S,075801,S,0.3010299956639812,0.0,0.6153846153846154,0.41666666666666663,0.026637394625045812
12,3,4,8,20,34.8417,False,15,BlindSearch,Simulados,Hermandad,15_BlindSearch_Simulados_Hermandad_allele,isib-60,60:690,0-99,065402,U,077101,S,1.5420993369959966,0.0,0.3076923076923077,0.6666666666666666,0.13645652985503753
13,2,4,9,22,40.4718,False,15,BlindSearch,Simulados,Hermandad,15_BlindSearch_Simulados_Hermandad_allele,isib-1,1:749,0-99,013402,S,031502,U,1.6071525202473433,0.0,0.3076923076923077,0.75,0.14221292403117072
14,1,8,6,20,1.0,False,15,ScreenMatch,Simulados,Hermandad,15_ScreenMatch_Simulados_Hermandad_allele,Process_lisib-375,375:375,0-99,002101,U,008002,U,0.0,0.0,0.6153846153846154,0.5,0.0
11,4,4,7,18,1.0,False,15,ScreenMatch,Simulados,Hermandad,15_ScreenMatch_Simulados_Hermandad_allele,Process_lisib-375,375:375,0-99,102602,S,138502,S,0.0,0.0,0.3076923076923077,0.5833333333333333,0.0
13,2,7,6,19,1.19911,False,15,BlindSearch,Simulados,Hermandad,15_BlindSearch_Simulados_Hermandad_allele,isib-1,1:749,0-99,123602,U,125902,U,0.07885902480172537,0.0,0.5384615384615385,0.5,0.006978038712575958
12,3,6,6,18,1.11211,False,15,BlindSearch,Simulados,Hermandad,15_BlindSearch_Simulados_Hermandad_allele,isib-175,175:575,0-99,102801,U,111101,S,0.04614774590640014,0.0,0.46153846153846156,0.5,0.00408349910796682
13,2,7,6,19,11.4143,False,15,BlindSearch,Simulados,Hermandad,15_BlindSearch_Simulados_Hermandad_allele,isib-375,375:375,0-99,135501,U,085301,S,1.0574492828469313,0.0,0.5384615384615385,0.5,0.09357105354579691
13,2,9,4,17,1.28999,False,15,BlindSearch,Simulados,Hermandad,15_BlindSearch_Simulados_Hermandad_allele,isib-60,60:690,0-99,033602,U,077001,S,0.11058634366230924,0.0,0.6923076923076923,0.3333333333333333,0.009785510144185034
12,3,5,7,19,50.0,False,15,ScreenMatch,Simulados,Hermandad,15_ScreenMatch_Simulados_Hermandad_allele,Process_LISIB-1,1:749,0-99,135802,U,061902,U,1.6989700043360187,0.0,0.38461538461538464,0.5833333333333333,0.15033762453403676
13,2,7,6,19,1.90801,False,15,BlindSearch,Simulados,Hermandad,15_BlindSearch_Simulados_Hermandad_allele,isib-1,1:749,0-99,003202,S,084502,S,0.2805806465386414,0.0,0.5384615384615385,0.5,0.02482788264842192
